metric,value,date,year,quarter
Housing Expenses,193199,2008-10-01,2008,4
Income,3524824,2009-01-01,2009,1
Housing Expenses,255084,2009-01-01,2009,1
Income,3472233,2009-01-01,2009,1
Housing Expenses,249719,2009-01-01,2009,1
Income,4009714,2009-01-01,2009,1
Housing Expenses,258930,2009-01-01,2009,1
Income,3959915,2009-01-01,2009,1
Housing Expenses,254647,2009-01-01,2009,1
Income,2803004,2009-01-01,2009,1
Housing Expenses,249359,2009-01-01,2009,1
Income,2758499,2009-01-01,2009,1
Housing Expenses,242507,2009-01-01,2009,1
Income,3326275,2009-04-01,2009,2
Housing Expenses,211803,2009-04-01,2009,2
Income,3295793,2009-04-01,2009,2
Housing Expenses,206097,2009-04-01,2009,2
Income,3704019,2009-04-01,2009,2
Housing Expenses,209761,2009-04-01,2009,2
Income,3653089,2009-04-01,2009,2
Housing Expenses,205419,2009-04-01,2009,2
Income,2764766,2009-04-01,2009,2
Housing Expenses,214837,2009-04-01,2009,2
Income,2770071,2009-04-01,2009,2
Housing Expenses,207095,2009-04-01,2009,2
Income,3484018,2009-07-01,2009,3
Housing Expenses,180723,2009-07-01,2009,3
Income,3449739,2009-07-01,2009,3
Housing Expenses,177727,2009-07-01,2009,3
Income,3900620,2009-07-01,2009,3
Housing Expenses,182660,2009-07-01,2009,3
Income,3845883,2009-07-01,2009,3
Housing Expenses,181359,2009-07-01,2009,3
Income,2861424,2009-07-01,2009,3
Housing Expenses,177828,2009-07-01,2009,3
Income,2863134,2009-07-01,2009,3
Housing Expenses,172348,2009-07-01,2009,3
Income,3565640,2009-10-01,2009,4
Housing Expenses,209478,2009-10-01,2009,4
Income,3535919,2009-10-01,2009,4
Housing Expenses,209138,2009-10-01,2009,4
Income,3912314,2009-10-01,2009,4
Housing Expenses,213834,2009-10-01,2009,4
Income,3873425,2009-10-01,2009,4
Housing Expenses,214088,2009-10-01,2009,4
Income,3026692,2009-10-01,2009,4
Housing Expenses,202707,2009-10-01,2009,4
Income,3017411,2009-10-01,2009,4
Housing Expenses,201532,2009-10-01,2009,4
Income,3775122,2010-01-01,2010,1
Housing Expenses,287755,2010-01-01,2010,1
Income,3727954,2010-01-01,2010,1
Housing Expenses,284679,2010-01-01,2010,1
Income,4211953,2010-01-01,2010,1
Housing Expenses,289158,2010-01-01,2010,1
Income,4172013,2010-01-01,2010,1
Housing Expenses,286858,2010-01-01,2010,1
Income,3143363,2010-01-01,2010,1
Housing Expenses,285725,2010-01-01,2010,1
Income,3090111,2010-01-01,2010,1
Housing Expenses,281549,2010-01-01,2010,1
Income,3583912,2010-04-01,2010,2
