,Province,Year,Age,Total,Male,Female
1521,Jeollanam-do,2013,Total,504612,318047,186565
1522,Jeollanam-do,2013,Under 30 years,8543,5088,3455
1523,Jeollanam-do,2013,30-39 Years old,51819,30651,21168
1524,Jeollanam-do,2013,40-49 Years old,95813,55519,40294
1525,Jeollanam-do,2013,50-59 Years old,113934,69159,44775
1526,Jeollanam-do,2013,60-69 Years old,91163,58157,33006
1527,Jeollanam-do,2013,70-79 Years old,77127,47572,29555
1528,Jeollanam-do,2013,80 years and over,23607,14145,9462
1529,Jeollanam-do,2013,dead,42606,37756,4850
1530,Jeollanam-do,2014,Total,502584,312050,190534
1531,Jeollanam-do,2014,Under 30 years,7775,4667,3108
1532,Jeollanam-do,2014,30-39 Years old,50582,29912,20670
1533,Jeollanam-do,2014,40-49 Years old,95070,54027,41043
1534,Jeollanam-do,2014,50-59 Years old,113180,66942,46238
1535,Jeollanam-do,2014,60-69 Years old,91230,57156,34074
1536,Jeollanam-do,2014,70-79 Years old,76396,46246,30150
1537,Jeollanam-do,2014,80 years and over,23060,12999,10061
1538,Jeollanam-do,2014,dead,45291,40101,5190
1539,Jeollanam-do,2015,Total,512148,313062,199086
1540,Jeollanam-do,2015,Under 30 years,11058,6366,4692
1541,Jeollanam-do,2015,30-39 Years old,52894,31520,21374
1542,Jeollanam-do,2015,40-49 Years old,97033,54575,42458
1543,Jeollanam-do,2015,50-59 Years old,115554,66769,48785
1544,Jeollanam-do,2015,60-69 Years old,93654,57670,35984
1545,Jeollanam-do,2015,70-79 Years old,73515,43761,29754
1546,Jeollanam-do,2015,80 years and over,24013,13228,10785
1547,Jeollanam-do,2015,dead,44427,39173,5254
1548,Jeollanam-do,2016,Total,518670,315245,203425
1549,Jeollanam-do,2016,Under 30 years,9068,5365,3703
1550,Jeollanam-do,2016,30-39 Years old,52110,31381,20729
1551,Jeollanam-do,2016,40-49 Years old,95544,53270,42274
1552,Jeollanam-do,2016,50-59 Years old,117981,67190,50791
1553,Jeollanam-do,2016,60-69 Years old,97239,59023,38216
1554,Jeollanam-do,2016,70-79 Years old,74589,44187,30402
1555,Jeollanam-do,2016,80 years and over,26171,14427,11744
1556,Jeollanam-do,2016,dead,45968,40402,5566
1557,Jeollanam-do,2017,Total,537573,326020,211553
1558,Jeollanam-do,2017,Under 30 years,8217,4900,3317
1559,Jeollanam-do,2017,30-39 Years old,50749,31154,19595
1560,Jeollanam-do,2017,40-49 Years old,95284,53181,42103
1561,Jeollanam-do,2017,50-59 Years old,120746,68503,52243
1562,Jeollanam-do,2017,60-69 Years old,102882,61899,40983
1563,Jeollanam-do,2017,70-79 Years old,81358,48064,33294
1564,Jeollanam-do,2017,80 years and over,30879,16841,14038
1565,Jeollanam-do,2017,dead,47458,41478,5980
1566,Jeollanam-do,2018,Total,546595,328904,217691
1567,Jeollanam-do,2018,Under 30 years,8876,5268,3608
1568,Jeollanam-do,2018,30-39 Years old,51177,31575,19602
1569,Jeollanam-do,2018,40-49 Years old,94824,53060,41764
1570,Jeollanam-do,2018,50-59 Years old,123374,68935,54439
1571,Jeollanam-do,2018,60-69 Years old,106012,62798,43214
1572,Jeollanam-do,2018,70-79 Years old,81978,48255,33723
1573,Jeollanam-do,2018,80 years and over,35179,19885,15294
1574,Jeollanam-do,2018,dead,45175,39128,6047
1575,Jeollanam-do,2019,Total,558332,333548,224784
1576,Jeollanam-do,2019,Under 30 years,8677,5160,3517
1577,Jeollanam-do,2019,30-39 Years old,49466,30835,18631
1578,Jeollanam-do,2019,40-49 Years old,94357,53033,41324
1579,Jeollanam-do,2019,50-59 Years old,125692,69608,56084
1580,Jeollanam-do,2019,60-69 Years old,111490,64874,46616
1581,Jeollanam-do,2019,70-79 Years old,84668,49460,35208
1582,Jeollanam-do,2019,80 years and over,38892,21675,17217
1583,Jeollanam-do,2019,dead,45090,38903,6187
1584,Jeollanam-do,2020,Total,574476,340186,234290
1585,Jeollanam-do,2020,Under 30 years,9071,5407,3664
1586,Jeollanam-do,2020,30-39 Years old,48782,30644,18138
1587,Jeollanam-do,2020,40-49 Years old,96939,54820,42119
1588,Jeollanam-do,2020,50-59 Years old,127256,69919,57337
1589,Jeollanam-do,2020,60-69 Years old,119242,68196,51046
1590,Jeollanam-do,2020,70-79 Years old,86739,50117,36622
1591,Jeollanam-do,2020,80 years and over,42274,23060,19214
1592,Jeollanam-do,2020,dead,44173,38023,6150
1593,Jeollanam-do,2021,Total,588595,344365,244230
1594,Jeollanam-do,2021,Under 30 years,9554,5654,3900
1595,Jeollanam-do,2021,30-39 Years old,48197,30103,18094
1596,Jeollanam-do,2021,40-49 Years old,97769,55386,42383
1597,Jeollanam-do,2021,50-59 Years old,130447,71216,59231
1598,Jeollanam-do,2021,60-69 Years old,127182,71290,55892
1599,Jeollanam-do,2021,70-79 Years old,87547,50075,37472
1600,Jeollanam-do,2021,80 years and over,45397,24355,21042
1601,Jeollanam-do,2021,dead,42502,36286,6216
1602,Jeollanam-do,2022,Total,593542,344876,248666
1603,Jeollanam-do,2022,Under 30 years,9164,5460,3704
1604,Jeollanam-do,2022,30-39 Years old,45240,28342,16898
1605,Jeollanam-do,2022,40-49 Years old,97255,55490,41765
1606,Jeollanam-do,2022,50-59 Years old,132266,71760,60506
1607,Jeollanam-do,2022,60-69 Years old,131961,73074,58887
1608,Jeollanam-do,2022,70-79 Years old,87070,49425,37645
1609,Jeollanam-do,2022,80 years and over,48403,25566,22837
1610,Jeollanam-do,2022,dead,42183,35759,6424
1611,Jeollanam-do,2023,Total,605006,348948,256058
1612,Jeollanam-do,2023,Under 30 years,8817,5190,3627
1613,Jeollanam-do,2023,30-39 Years old,43741,27448,16293
1614,Jeollanam-do,2023,40-49 Years old,96619,55766,40853
1615,Jeollanam-do,2023,50-59 Years old,134662,72748,61914
1616,Jeollanam-do,2023,60-69 Years old,139864,76726,63138
1617,Jeollanam-do,2023,70-79 Years old,89105,49974,39131
1618,Jeollanam-do,2023,80 years and over,51001,26368,24633
1619,Jeollanam-do,2023,dead,41197,34728,6469
1620,Gyeongsangbuk-do,2012,Total,696431,449409,247022
1621,Gyeongsangbuk-do,2012,Under 30 years,13710,7906,5804
1622,Gyeongsangbuk-do,2012,30-39 Years old,89291,54274,35017
1623,Gyeongsangbuk-do,2012,40-49 Years old,149496,92555,56941
1624,Gyeongsangbuk-do,2012,50-59 Years old,173222,110319,62903
1625,Gyeongsangbuk-do,2012,60-69 Years old,120113,77973,42140
1626,Gyeongsangbuk-do,2012,70-79 Years old,85609,54304,31305
1627,Gyeongsangbuk-do,2012,80 years and over,23096,14674,8422
1628,Gyeongsangbuk-do,2012,dead,41894,37404,4490
1629,Gyeongsangbuk-do,2013,Total,720722,461502,259220
1630,Gyeongsangbuk-do,2013,Under 30 years,12715,7446,5269
1631,Gyeongsangbuk-do,2013,30-39 Years old,87221,53174,34047
1632,Gyeongsangbuk-do,2013,40-49 Years old,150037,91079,58958
1633,Gyeongsangbuk-do,2013,50-59 Years old,179732,112676,67056
1634,Gyeongsangbuk-do,2013,60-69 Years old,126258,81328,44930
1635,Gyeongsangbuk-do,2013,70-79 Years old,92912,58549,34363
1636,Gyeongsangbuk-do,2013,80 years and over,26723,16956,9767
1637,Gyeongsangbuk-do,2013,dead,45124,40294,4830
1638,Gyeongsangbuk-do,2014,Total,720710,456203,264507
1639,Gyeongsangbuk-do,2014,Under 30 years,11945,7082,4863
1640,Gyeongsangbuk-do,2014,30-39 Years old,83613,51432,32181
1641,Gyeongsangbuk-do,2014,40-49 Years old,149182,88718,60464
1642,Gyeongsangbuk-do,2014,50-59 Years old,179135,109996,69139
1643,Gyeongsangbuk-do,2014,60-69 Years old,128938,81876,47062
1644,Gyeongsangbuk-do,2014,70-79 Years old,92421,57275,35146
1645,Gyeongsangbuk-do,2014,80 years and over,25676,15341,10335
1646,Gyeongsangbuk-do,2014,dead,49800,44483,5317
1647,Gyeongsangbuk-do,2015,Total,754879,470751,284128
1648,Gyeongsangbuk-do,2015,Under 30 years,15591,9005,6586
1649,Gyeongsangbuk-do,2015,30-39 Years old,86912,53910,33002
1650,Gyeongsangbuk-do,2015,40-49 Years old,154158,90595,63563
1651,Gyeongsangbuk-do,2015,50-59 Years old,185330,111685,73645
1652,Gyeongsangbuk-do,2015,60-69 Years old,140527,87955,52572
1653,Gyeongsangbuk-do,2015,70-79 Years old,93846,56944,36902
1654,Gyeongsangbuk-do,2015,80 years and over,29491,17065,12426
1655,Gyeongsangbuk-do,2015,dead,49024,43592,5432
1656,Gyeongsangbuk-do,2016,Total,770564,477110,293454
1657,Gyeongsangbuk-do,2016,Under 30 years,13667,7978,5689
1658,Gyeongsangbuk-do,2016,30-39 Years old,87788,54975,32813
1659,Gyeongsangbuk-do,2016,40-49 Years old,154273,89439,64834
1660,Gyeongsangbuk-do,2016,50-59 Years old,187750,111578,76172
1661,Gyeongsangbuk-do,2016,60-69 Years old,150332,92772,57560
1662,Gyeongsangbuk-do,2016,70-79 Years old,92825,55993,36832
1663,Gyeongsangbuk-do,2016,80 years and over,32650,18909,13741
1664,Gyeongsangbuk-do,2016,dead,51279,45466,5813
1665,Gyeongsangbuk-do,2017,Total,798792,491448,307344
