"Province","Year","Age",Total,Male,Female
"Jeollanam-do","2018","60-69 Years old",106012,62798,43214
"Jeollanam-do","2018","70-79 Years old",81978,48255,33723
"Jeollanam-do","2018","80 years and over",35179,19885,15294
"Jeollanam-do","2018","dead",45175,39128,6047
"Jeollanam-do","2019","Total",558332,333548,224784
"Jeollanam-do","2019","Under 30 years",8677,5160,3517
"Jeollanam-do","2019","30-39 Years old",49466,30835,18631
"Jeollanam-do","2019","40-49 Years old",94357,53033,41324
"Jeollanam-do","2019","50-59 Years old",125692,69608,56084
"Jeollanam-do","2019","60-69 Years old",111490,64874,46616
"Jeollanam-do","2019","70-79 Years old",84668,49460,35208
"Jeollanam-do","2019","80 years and over",38892,21675,17217
"Jeollanam-do","2019","dead",45090,38903,6187
"Jeollanam-do","2020","Total",574476,340186,234290
"Jeollanam-do","2020","Under 30 years",9071,5407,3664
"Jeollanam-do","2020","30-39 Years old",48782,30644,18138
"Jeollanam-do","2020","40-49 Years old",96939,54820,42119
"Jeollanam-do","2020","50-59 Years old",127256,69919,57337
"Jeollanam-do","2020","60-69 Years old",119242,68196,51046
"Jeollanam-do","2020","70-79 Years old",86739,50117,36622
"Jeollanam-do","2020","80 years and over",42274,23060,19214
"Jeollanam-do","2020","dead",44173,38023,6150
"Jeollanam-do","2021","Total",588595,344365,244230
"Jeollanam-do","2021","Under 30 years",9554,5654,3900
"Jeollanam-do","2021","30-39 Years old",48197,30103,18094
"Jeollanam-do","2021","40-49 Years old",97769,55386,42383
"Jeollanam-do","2021","50-59 Years old",130447,71216,59231
"Jeollanam-do","2021","60-69 Years old",127182,71290,55892
"Jeollanam-do","2021","70-79 Years old",87547,50075,37472
"Jeollanam-do","2021","80 years and over",45397,24355,21042
"Jeollanam-do","2021","dead",42502,36286,6216
"Jeollanam-do","2022","Total",593542,344876,248666
"Jeollanam-do","2022","Under 30 years",9164,5460,3704
"Jeollanam-do","2022","30-39 Years old",45240,28342,16898
"Jeollanam-do","2022","40-49 Years old",97255,55490,41765
"Jeollanam-do","2022","50-59 Years old",132266,71760,60506
"Jeollanam-do","2022","60-69 Years old",131961,73074,58887
"Jeollanam-do","2022","70-79 Years old",87070,49425,37645
"Jeollanam-do","2022","80 years and over",48403,25566,22837
"Jeollanam-do","2022","dead",42183,35759,6424
"Jeollanam-do","2023","Total",605006,348948,256058
"Jeollanam-do","2023","Under 30 years",8817,5190,3627
"Jeollanam-do","2023","30-39 Years old",43741,27448,16293
"Jeollanam-do","2023","40-49 Years old",96619,55766,40853
"Jeollanam-do","2023","50-59 Years old",134662,72748,61914
"Jeollanam-do","2023","60-69 Years old",139864,76726,63138
"Jeollanam-do","2023","70-79 Years old",89105,49974,39131
"Jeollanam-do","2023","80 years and over",51001,26368,24633
"Jeollanam-do","2023","dead",41197,34728,6469
"Gyeongsangbuk-do","2012","Total",696431,449409,247022
"Gyeongsangbuk-do","2012","Under 30 years",13710,7906,5804
"Gyeongsangbuk-do","2012","30-39 Years old",89291,54274,35017
"Gyeongsangbuk-do","2012","40-49 Years old",149496,92555,56941
"Gyeongsangbuk-do","2012","50-59 Years old",173222,110319,62903
"Gyeongsangbuk-do","2012","60-69 Years old",120113,77973,42140
"Gyeongsangbuk-do","2012","70-79 Years old",85609,54304,31305
"Gyeongsangbuk-do","2012","80 years and over",23096,14674,8422
"Gyeongsangbuk-do","2012","dead",41894,37404,4490
"Gyeongsangbuk-do","2013","Total",720722,461502,259220
"Gyeongsangbuk-do","2013","Under 30 years",12715,7446,5269
"Gyeongsangbuk-do","2013","30-39 Years old",87221,53174,34047
"Gyeongsangbuk-do","2013","40-49 Years old",150037,91079,58958
"Gyeongsangbuk-do","2013","50-59 Years old",179732,112676,67056
"Gyeongsangbuk-do","2013","60-69 Years old",126258,81328,44930
"Gyeongsangbuk-do","2013","70-79 Years old",92912,58549,34363
"Gyeongsangbuk-do","2013","80 years and over",26723,16956,9767
"Gyeongsangbuk-do","2013","dead",45124,40294,4830
"Gyeongsangbuk-do","2014","Total",720710,456203,264507
"Gyeongsangbuk-do","2014","Under 30 years",11945,7082,4863
"Gyeongsangbuk-do","2014","30-39 Years old",83613,51432,32181
"Gyeongsangbuk-do","2014","40-49 Years old",149182,88718,60464
"Gyeongsangbuk-do","2014","50-59 Years old",179135,109996,69139
"Gyeongsangbuk-do","2014","60-69 Years old",128938,81876,47062
"Gyeongsangbuk-do","2014","70-79 Years old",92421,57275,35146
"Gyeongsangbuk-do","2014","80 years and over",25676,15341,10335
"Gyeongsangbuk-do","2014","dead",49800,44483,5317
"Gyeongsangbuk-do","2015","Total",754879,470751,284128
"Gyeongsangbuk-do","2015","Under 30 years",15591,9005,6586
"Gyeongsangbuk-do","2015","30-39 Years old",86912,53910,33002
"Gyeongsangbuk-do","2015","40-49 Years old",154158,90595,63563
"Gyeongsangbuk-do","2015","50-59 Years old",185330,111685,73645
"Gyeongsangbuk-do","2015","60-69 Years old",140527,87955,52572
"Gyeongsangbuk-do","2015","70-79 Years old",93846,56944,36902
"Gyeongsangbuk-do","2015","80 years and over",29491,17065,12426
"Gyeongsangbuk-do","2015","dead",49024,43592,5432
"Gyeongsangbuk-do","2016","Total",770564,477110,293454
"Gyeongsangbuk-do","2016","Under 30 years",13667,7978,5689
"Gyeongsangbuk-do","2016","30-39 Years old",87788,54975,32813
"Gyeongsangbuk-do","2016","40-49 Years old",154273,89439,64834
"Gyeongsangbuk-do","2016","50-59 Years old",187750,111578,76172
"Gyeongsangbuk-do","2016","60-69 Years old",150332,92772,57560
"Gyeongsangbuk-do","2016","70-79 Years old",92825,55993,36832
"Gyeongsangbuk-do","2016","80 years and over",32650,18909,13741
"Gyeongsangbuk-do","2016","dead",51279,45466,5813
"Gyeongsangbuk-do","2017","Total",798792,491448,307344
"Gyeongsangbuk-do","2017","Under 30 years",13212,7857,5355
"Gyeongsangbuk-do","2017","30-39 Years old",87517,55131,32386
"Gyeongsangbuk-do","2017","40-49 Years old",156470,90228,66242
"Gyeongsangbuk-do","2017","50-59 Years old",191843,112337,79506
"Gyeongsangbuk-do","2017","60-69 Years old",160890,98521,62369
"Gyeongsangbuk-do","2017","70-79 Years old",99684,59923,39761
"Gyeongsangbuk-do","2017","80 years and over",36989,21378,15611
"Gyeongsangbuk-do","2017","dead",52187,46073,6114
"Gyeongsangbuk-do","2018","Total",818928,499090,319838
"Gyeongsangbuk-do","2018","Under 30 years",12907,7605,5302
"Gyeongsangbuk-do","2018","30-39 Years old",87238,55235,32003
"Gyeongsangbuk-do","2018","40-49 Years old",156337,89937,66400
"Gyeongsangbuk-do","2018","50-59 Years old",198051,113906,84145
"Gyeongsangbuk-do","2018","60-69 Years old",167607,101151,66456
"Gyeongsangbuk-do","2018","70-79 Years old",103977,62292,41685
"Gyeongsangbuk-do","2018","80 years and over",42983,25447,17536
"Gyeongsangbuk-do","2018","dead",49828,43517,6311
"Gyeongsangbuk-do","2019","Total",832387,503007,329380
"Gyeongsangbuk-do","2019","Under 30 years",12194,7121,5073
"Gyeongsangbuk-do","2019","30-39 Years old",83837,53285,30552
"Gyeongsangbuk-do","2019","40-49 Years old",155698,89642,66056
"Gyeongsangbuk-do","2019","50-59 Years old",201332,114360,86972
"Gyeongsangbuk-do","2019","60-69 Years old",175249,103972,71277
"Gyeongsangbuk-do","2019","70-79 Years old",107636,64131,43505
"Gyeongsangbuk-do","2019","80 years and over",46782,27259,19523
"Gyeongsangbuk-do","2019","dead",49659,43237,6422
"Gyeongsangbuk-do","2020","Total",847610,507692,339918
"Gyeongsangbuk-do","2020","Under 30 years",12250,7169,5081
"Gyeongsangbuk-do","2020","30-39 Years old",78950,50239,28711
"Gyeongsangbuk-do","2020","40-49 Years old",155532,89890,65642
"Gyeongsangbuk-do","2020","50-59 Years old",201438,113052,88386
"Gyeongsangbuk-do","2020","60-69 Years old",187697,109411,78286
"Gyeongsangbuk-do","2020","70-79 Years old",111252,65631,45621
"Gyeongsangbuk-do","2020","80 years and over",50460,28865,21595
"Gyeongsangbuk-do","2020","dead",50031,43435,6596
"Gyeongsangbuk-do","2021","Total",868281,513841,354440
"Gyeongsangbuk-do","2021","Under 30 years",13244,7723,5521
"Gyeongsangbuk-do","2021","30-39 Years old",76871,48773,28098
"Gyeongsangbuk-do","2021","40-49 Years old",156048,90423,65625
"Gyeongsangbuk-do","2021","50-59 Years old",202908,112187,90721
"Gyeongsangbuk-do","2021","60-69 Years old",202150,115871,86279
"Gyeongsangbuk-do","2021","70-79 Years old",114576,66827,47749
"Gyeongsangbuk-do","2021","80 years and over",54105,30296,23809
"Gyeongsangbuk-do","2021","dead",48379,41741,6638
"Gyeongsangbuk-do","2022","Total",873702,513569,360133
"Gyeongsangbuk-do","2022","Under 30 years",11804,6893,4911
"Gyeongsangbuk-do","2022","30-39 Years old",69455,44070,25385
"Gyeongsangbuk-do","2022","40-49 Years old",153371,89466,63905
"Gyeongsangbuk-do","2022","50-59 Years old",202739,111241,91498
"Gyeongsangbuk-do","2022","60-69 Years old",208992,118717,90275
"Gyeongsangbuk-do","2022","70-79 Years old",118799,68409,50390
"Gyeongsangbuk-do","2022","80 years and over",59041,32511,26530
"Gyeongsangbuk-do","2022","dead",49501,42262,7239
"Gyeongsangbuk-do","2023","Total",876159,510938,365221
"Gyeongsangbuk-do","2023","Under 30 years",11001,6425,4576
"Gyeongsangbuk-do","2023","30-39 Years old",64278,40901,23377
"Gyeongsangbuk-do","2023","40-49 Years old",149687,88011,61676
"Gyeongsangbuk-do","2023","50-59 Years old",202913,110411,92502
"Gyeongsangbuk-do","2023","60-69 Years old",214778,120564,94214
"Gyeongsangbuk-do","2023","70-79 Years old",122548,69907,52641
"Gyeongsangbuk-do","2023","80 years and over",62445,33456,28989
"Gyeongsangbuk-do","2023","dead",48509,41263,7246
"Gyeongsangnam-do","2012","Total",848060,512920,335140
"Gyeongsangnam-do","2012","Under 30 years",18896,11066,7830
"Gyeongsangnam-do","2012","30-39 Years old",135344,79989,55355
"Gyeongsangnam-do","2012","40-49 Years old",213184,123935,89249
"Gyeongsangnam-do","2012","50-59 Years old",213838,128576,85262
"Gyeongsangnam-do","2012","60-69 Years old",128329,78677,49652
"Gyeongsangnam-do","2012","70-79 Years old",83749,49205,34544
"Gyeongsangnam-do","2012","80 years and over",21883,12949,8934
"Gyeongsangnam-do","2012","dead",32837,28523,4314
"Gyeongsangnam-do","2013","Total",881925,528974,352951
"Gyeongsangnam-do","2013","Under 30 years",16998,10053,6945
"Gyeongsangnam-do","2013","30-39 Years old",133317,79469,53848
"Gyeongsangnam-do","2013","40-49 Years old",219704,125809,93895
"Gyeongsangnam-do","2013","50-59 Years old",225647,133656,91991
"Gyeongsangnam-do","2013","60-69 Years old",135875,82546,53329
"Gyeongsangnam-do","2013","70-79 Years old",90444,52508,37936
"Gyeongsangnam-do","2013","80 years and over",25102,14661,10441
"Gyeongsangnam-do","2013","dead",34838,30272,4566
"Gyeongsangnam-do","2014","Total",904834,537453,367381
"Gyeongsangnam-do","2014","Under 30 years",16488,9903,6585
"Gyeongsangnam-do","2014","30-39 Years old",135844,81772,54072
"Gyeongsangnam-do","2014","40-49 Years old",227190,128600,98590
"Gyeongsangnam-do","2014","50-59 Years old",229639,133264,96375
"Gyeongsangnam-do","2014","60-69 Years old",141508,85119,56389
"Gyeongsangnam-do","2014","70-79 Years old",91456,52365,39091
"Gyeongsangnam-do","2014","80 years and over",24778,13468,11310
"Gyeongsangnam-do","2014","dead",37931,32962,4969
"Gyeongsangnam-do","2015","Total",928149,544657,383492
"Gyeongsangnam-do","2015","Under 30 years",19304,11310,7994
"Gyeongsangnam-do","2015","30-39 Years old",137885,84179,53706
"Gyeongsangnam-do","2015","40-49 Years old",231111,129557,101554
"Gyeongsangnam-do","2015","50-59 Years old",234926,133733,101193
"Gyeongsangnam-do","2015","60-69 Years old",151735,89526,62209
"Gyeongsangnam-do","2015","70-79 Years old",90284,50934,39350
"Gyeongsangnam-do","2015","80 years and over",26509,14005,12504
"Gyeongsangnam-do","2015","dead",36395,31413,4982
"Gyeongsangnam-do","2016","Total",949755,554258,395497
"Gyeongsangnam-do","2016","Under 30 years",16858,9984,6874
"Gyeongsangnam-do","2016","30-39 Years old",134884,83192,51692
"Gyeongsangnam-do","2016","40-49 Years old",230962,128720,102242
"Gyeongsangnam-do","2016","50-59 Years old",241050,135344,105706
"Gyeongsangnam-do","2016","60-69 Years old",164403,95735,68668
"Gyeongsangnam-do","2016","70-79 Years old",92703,51990,40713
"Gyeongsangnam-do","2016","80 years and over",30042,15849,14193
"Gyeongsangnam-do","2016","dead",38853,33444,5409
"Gyeongsangnam-do","2017","Total",986620,573282,413338
"Gyeongsangnam-do","2017","Under 30 years",16077,9628,6449
"Gyeongsangnam-do","2017","30-39 Years old",133527,83036,50491
"Gyeongsangnam-do","2017","40-49 Years old",234114,130813,103301
"Gyeongsangnam-do","2017","50-59 Years old",249001,137953,111048
"Gyeongsangnam-do","2017","60-69 Years old",178191,102863,75328
"Gyeongsangnam-do","2017","70-79 Years old",100405,56224,44181
"Gyeongsangnam-do","2017","80 years and over",35180,18401,16779
"Gyeongsangnam-do","2017","dead",40125,34364,5761
"Gyeongsangnam-do","2018","Total",1009747,582339,427408
"Gyeongsangnam-do","2018","Under 30 years",15701,9277,6424
"Gyeongsangnam-do","2018","30-39 Years old",129950,80977,48973
"Gyeongsangnam-do","2018","40-49 Years old",233427,131029,102398
"Gyeongsangnam-do","2018","50-59 Years old",257087,140134,116953
"Gyeongsangnam-do","2018","60-69 Years old",188383,107458,80925
"Gyeongsangnam-do","2018","70-79 Years old",106093,59105,46988
"Gyeongsangnam-do","2018","80 years and over",40395,21593,18802
"Gyeongsangnam-do","2018","dead",38711,32766,5945
"Gyeongsangnam-do","2019","Total",1033218,592508,440710
"Gyeongsangnam-do","2019","Under 30 years",15250,9032,6218
"Gyeongsangnam-do","2019","30-39 Years old",123744,77194,46550
"Gyeongsangnam-do","2019","40-49 Years old",234304,132187,102117
"Gyeongsangnam-do","2019","50-59 Years old",264220,142670,121550
"Gyeongsangnam-do","2019","60-69 Years old",200513,112895,87618
"Gyeongsangnam-do","2019","70-79 Years old",111076,61627,49449
"Gyeongsangnam-do","2019","80 years and over",44503,23512,20991
"Gyeongsangnam-do","2019","dead",39608,33391,6217
"Gyeongsangnam-do","2020","Total",1055150,600581,454569
"Gyeongsangnam-do","2020","Under 30 years",15266,8939,6327
"Gyeongsangnam-do","2020","30-39 Years old",115864,72212,43652
"Gyeongsangnam-do","2020","40-49 Years old",235054,133357,101697
"Gyeongsangnam-do","2020","50-59 Years old",267339,142902,124437
"Gyeongsangnam-do","2020","60-69 Years old",217185,120542,96643
"Gyeongsangnam-do","2020","70-79 Years old",115836,63959,51877
"Gyeongsangnam-do","2020","80 years and over",48800,25310,23490
"Gyeongsangnam-do","2020","dead",39806,33360,6446
"Gyeongsangnam-do","2021","Total",1075438,607168,468270
"Gyeongsangnam-do","2021","Under 30 years",16153,9393,6760
"Gyeongsangnam-do","2021","30-39 Years old",110497,68645,41852
"Gyeongsangnam-do","2021","40-49 Years old",233272,133148,100124
"Gyeongsangnam-do","2021","50-59 Years old",269274,142705,126569
"Gyeongsangnam-do","2021","60-69 Years old",234455,128050,106405
"Gyeongsangnam-do","2021","70-79 Years old",119653,65441,54212
"Gyeongsangnam-do","2021","80 years and over",52855,27031,25824
"Gyeongsangnam-do","2021","dead",39279,32755,6524
"Gyeongsangnam-do","2022","Total",1080564,605677,474887
"Gyeongsangnam-do","2022","Under 30 years",14926,8586,6340
"Gyeongsangnam-do","2022","30-39 Years old",100303,62307,37996
"Gyeongsangnam-do","2022","40-49 Years old",230292,132194,98098
"Gyeongsangnam-do","2022","50-59 Years old",270660,142918,127742
"Gyeongsangnam-do","2022","60-69 Years old",244797,132204,112593
"Gyeongsangnam-do","2022","70-79 Years old",125164,68053,57111
"Gyeongsangnam-do","2022","80 years and over",57190,28763,28427
"Gyeongsangnam-do","2022","dead",37232,30652,6580
"Gyeongsangnam-do","2023","Total",1089324,606427,482897
"Gyeongsangnam-do","2023","Under 30 years",13250,7533,5717
"Gyeongsangnam-do","2023","30-39 Years old",90665,56124,34541
"Gyeongsangnam-do","2023","40-49 Years old",224184,129904,94280
"Gyeongsangnam-do","2023","50-59 Years old",275180,144589,130591
"Gyeongsangnam-do","2023","60-69 Years old",256638,137456,119182
"Gyeongsangnam-do","2023","70-79 Years old",131630,70888,60742
"Gyeongsangnam-do","2023","80 years and over",61224,30101,31123
"Gyeongsangnam-do","2023","dead",36553,29832,6721
"Jeju","2012","Total",131814,78567,53247
"Jeju","2012","Under 30 years",2542,1524,1018
"Jeju","2012","30-39 Years old",18011,10439,7572
"Jeju","2012","40-49 Years old",34121,19448,14673
"Jeju","2012","50-59 Years old",32092,19023,13069
"Jeju","2012","60-69 Years old",22352,13982,8370
"Jeju","2012","70-79 Years old",14457,8777,5680
"Jeju","2012","80 years and over",3337,1533,1804
"Jeju","2012","dead",4902,3841,1061
"Jeju","2013","Total",136441,80194,56247
"Jeju","2013","Under 30 years",2431,1426,1005
"Jeju","2013","30-39 Years old",18330,10557,7773
"Jeju","2013","40-49 Years old",35237,19670,15567
"Jeju","2013","50-59 Years old",34050,19842,14208
"Jeju","2013","60-69 Years old",22671,13917,8754
"Jeju","2013","70-79 Years old",14750,8930,5820
"Jeju","2013","80 years and over",3838,1814,2024
"Jeju","2013","dead",5134,4038,1096
"Jeju","2014","Total",143658,83707,59951
"Jeju","2014","Under 30 years",2547,1510,1037
"Jeju","2014","30-39 Years old",19035,10942,8093
"Jeju","2014","40-49 Years old",37211,20546,16665
"Jeju","2014","50-59 Years old",35971,20648,15323
"Jeju","2014","60-69 Years old",23536,14184,9352
"Jeju","2014","70-79 Years old",15621,9496,6125
"Jeju","2014","80 years and over",4250,2076,2174
"Jeju","2014","dead",5487,4305,1182
"Jeju","2015","Total",152997,88130,64867
"Jeju","2015","Under 30 years",3172,1877,1295
"Jeju","2015","30-39 Years old",19968,11515,8453
"Jeju","2015","40-49 Years old",39233,21533,17700
"Jeju","2015","50-59 Years old",37963,21351,16612
"Jeju","2015","60-69 Years old",25816,15224,10592
"Jeju","2015","70-79 Years old",16592,10006,6586
"Jeju","2015","80 years and over",4856,2396,2460
"Jeju","2015","dead",5397,4228,1169
"Jeju","2016","Total",160551,91407,69144
"Jeju","2016","Under 30 years",2988,1804,1184
"Jeju","2016","30-39 Years old",20823,11924,8899
"Jeju","2016","40-49 Years old",40713,22129,18584
"Jeju","2016","50-59 Years old",40381,22283,18098
"Jeju","2016","60-69 Years old",27690,16027,11663
"Jeju","2016","70-79 Years old",17249,10319,6930
"Jeju","2016","80 years and over",5350,2733,2617
"Jeju","2016","dead",5357,4188,1169
"Jeju","2017","Total",168750,95405,73345
"Jeju","2017","Under 30 years",3171,1911,1260
"Jeju","2017","30-39 Years old",21322,12256,9066
"Jeju","2017","40-49 Years old",42786,23096,19690
"Jeju","2017","50-59 Years old",42569,23165,19404
"Jeju","2017","60-69 Years old",29384,16874,12510
"Jeju","2017","70-79 Years old",18239,10902,7337
"Jeju","2017","80 years and over",5882,3015,2867
"Jeju","2017","dead",5397,4186,1211
"Jeju","2018","Total",175539,98204,77335
"Jeju","2018","Under 30 years",3479,2077,1402
"Jeju","2018","30-39 Years old",21792,12480,9312
"Jeju","2018","40-49 Years old",43737,23549,20188
"Jeju","2018","50-59 Years old",45063,24113,20950
"Jeju","2018","60-69 Years old",30814,17414,13400
"Jeju","2018","70-79 Years old",18986,11237,7749
"Jeju","2018","80 years and over",6569,3454,3115
"Jeju","2018","dead",5099,3880,1219
"Jeju","2019","Total",180441,100532,79909
"Jeju","2019","Under 30 years",3376,2026,1350
"Jeju","2019","30-39 Years old",20833,11966,8867
"Jeju","2019","40-49 Years old",44047,23769,20278
"Jeju","2019","50-59 Years old",46952,24929,22023
"Jeju","2019","60-69 Years old",33074,18445,14629
"Jeju","2019","70-79 Years old",19755,11625,8130
"Jeju","2019","80 years and over",7271,3875,3396
"Jeju","2019","dead",5133,3897,1236
"Jeju","2020","Total",185048,102309,82739
"Jeju","2020","Under 30 years",3512,2069,1443
"Jeju","2020","30-39 Years old",19949,11363,8586
"Jeju","2020","40-49 Years old",43908,23778,20130
"Jeju","2020","50-59 Years old",48557,25518,23039
"Jeju","2020","60-69 Years old",35713,19629,16084
"Jeju","2020","70-79 Years old",20309,11837,8472
"Jeju","2020","80 years and over",7958,4209,3749
"Jeju","2020","dead",5142,3906,1236
"Jeju","2021","Total",191211,104879,86332
"Jeju","2021","Under 30 years",3836,2222,1614
"Jeju","2021","30-39 Years old",19895,11297,8598
"Jeju","2021","40-49 Years old",44235,23945,20290
"Jeju","2021","50-59 Years old",50494,26341,24153
"Jeju","2021","60-69 Years old",38402,20741,17661
"Jeju","2021","70-79 Years old",20650,11928,8722
"Jeju","2021","80 years and over",8624,4554,4070
"Jeju","2021","dead",5075,3851,1224
"Jeju","2022","Total",196528,107195,89333
"Jeju","2022","Under 30 years",3758,2160,1598
"Jeju","2022","30-39 Years old",19228,10918,8310
"Jeju","2022","40-49 Years old",44848,24377,20471
"Jeju","2022","50-59 Years old",52295,27203,25092
"Jeju","2022","60-69 Years old",40636,21579,19057
"Jeju","2022","70-79 Years old",21281,12164,9117
"Jeju","2022","80 years and over",9405,4974,4431
"Jeju","2022","dead",5077,3820,1257
"Jeju","2023","Total",200438,108874,91564
"Jeju","2023","Under 30 years",3454,1992,1462
"Jeju","2023","30-39 Years old",18498,10487,8011
"Jeju","2023","40-49 Years old",44302,24232,20070
"Jeju","2023","50-59 Years old",53476,27656,25820
"Jeju","2023","60-69 Years old",43487,22995,20492
"Jeju","2023","70-79 Years old",22078,12428,9650
"Jeju","2023","80 years and over",10067,5266,4801
"Jeju","2023","dead",5076,3818,1258
