"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"3 persons","Transfer income","2008.4/4","338569.998","205411.541","542749.153",
"3 persons","Transfer income","2009.1/4","369336.128","285558.173","503415.378",
"3 persons","Transfer income","2009.2/4","338090.821","207117.815","552608.94",
"3 persons","Transfer income","2009.3/4","379959.716","235551.974","623705.126",
"3 persons","Transfer income","2009.4/4","379594.272","236881.127","621572.996",
"3 persons","Transfer income","2010.1/4","400697.709","285753.142","578287.063",
"3 persons","Transfer income","2010.2/4","363070.3","230725.447","571683.347",
"3 persons","Transfer income","2010.3/4","369573.632","232096.44","589983.33",
"3 persons","Transfer income","2010.4/4","375310.898","236112.603","601602.683",
"3 persons","Transfer income","2011.1/4","408328.965","255604.116","656060.948",
"3 persons","Transfer income","2011.2/4","388664.093","245293.783","640392.882",
"3 persons","Transfer income","2011.3/4","420243.979","279311.35","665940.447",
"3 persons","Transfer income","2011.4/4","429950.803","286129.525","702117.658",
"3 persons","Transfer income","2012.1/4","470452.753","337512.795","719385.528",
"3 persons","Transfer income","2012.2/4","401368.52","281534.737","643931.225",
"3 persons","Transfer income","2012.3/4","393263.38","254617.054","663778.311",
"3 persons","Transfer income","2012.4/4","408835.618","268821.985","695288.046",
"3 persons","Transfer income","2013.1/4","499757.543","353250.959","785860.36",
"3 persons","Transfer income","2013.2/4","464031.262","299335.513","784214.644",
"3 persons","Transfer income","2013.3/4","506711.355","338350.464","829210.901",
"3 persons","Transfer income","2013.4/4","490690.937","321503.753","801528.298",
"3 persons","Transfer income","2014.1/4","531031.716","345273.053","877224.023",
"3 persons","Transfer income","2014.2/4","461340.642","335066.444","718470.548",
"3 persons","Transfer income","2014.3/4","484305.56","333086.736","790589.38",
"3 persons","Transfer income","2014.4/4","488651.897","325710.438","817924.643",
"3 persons","Transfer income","2015.1/4","548229.418","386245.575","839240.723",
"3 persons","Transfer income","2015.2/4","513735.87","344827.509","832799.681",
"3 persons","Transfer income","2015.3/4","522978.577","369226.279","821577.274",
"3 persons","Transfer income","2015.4/4","480901.31","333945.682","771306.069",
"3 persons","Transfer income","2016.1/4","541807.627","379248.631","823381.421",
"3 persons","Transfer income","2016.2/4","500341.203","346735.65","788933.147",
"3 persons","Transfer income","2016.3/4","506070.465","340911.895","825928.296",
"3 persons","Transfer income","2016.4/4","477961.868","327948.118","774170.838",
"3 persons","Transfer income","2017.1/4","516435.641","402118.609","722475.224",
"3 persons","Transfer income","2017.2/4","469410.175","336804.539","726847.242",
"3 persons","Transfer income","2017.3/4","486494.957","335678.425","768978.889",
"3 persons","Transfer income","2017.4/4","486881.473","334656.749","782085.563",
"3 persons","Transfer income","2018.1/4","586249.528","452319.637","827409.97",
"3 persons","Transfer income","2018.2/4","508500.592","360763.657","773787.687",
"3 persons","Transfer income","2018.3/4","538715.894","381727.575","811764.923",
"3 persons","Transfer income","2018.4/4","522699.763","377922.321","761079.232",
"3 persons","Transfer income","2019.1/4","661439.694","525258.811","879398.215",
"3 persons","Transfer income","2019.2/4","575698.49","400252.956","885300.258",
"3 persons","Transfer income","2019.3/4","585073.901","449707.784","817639.42",
"3 persons","Transfer income","2019.4/4","527155.824","396260.086","763468.744",
"3 persons","Noncurrent income","2006.1/4","224273.104","257358.381","177090.696",
"3 persons","Noncurrent income","2006.2/4","136490.648","143965.509","125176.574",
"3 persons","Noncurrent income","2006.3/4","104037.105","106133.72","100945.595",
"3 persons","Noncurrent income","2006.4/4","148946.3","148612.66","149424.044",
"3 persons","Noncurrent income","2007.1/4","154776.666","182463.585","115665.324",
"3 persons","Noncurrent income","2007.2/4","135855.061","127164.87","148109.1",
"3 persons","Noncurrent income","2007.3/4","137499.707","118531.065","165190.727",
"3 persons","Noncurrent income","2007.4/4","189461.434","158204.171","235589.999",
"3 persons","Noncurrent income","2008.1/4","177455.955","201688.621","141654.73",
"3 persons","Noncurrent income","2008.2/4","145349.325","169547.665","108429.184",
"3 persons","Noncurrent income","2008.3/4","157142.548","149170.89","169065.951",
"3 persons","Noncurrent income","2008.4/4","152133.375","175012.689","117051.268",
"3 persons","Noncurrent income","2009.1/4","222097.362","272464.282","141489.535",
"3 persons","Noncurrent income","2009.2/4","118529.426","118885.85","117945.645",
"3 persons","Noncurrent income","2009.3/4","126815.077","157153.332","75607.224",
"3 persons","Noncurrent income","2009.4/4","164571.844","191690.113","118591.186",
"3 persons","Noncurrent income","2010.1/4","220869.887","147248.965","334614.211",
"3 persons","Noncurrent income","2010.2/4","139985.251","147990.764","127366.29",
"3 persons","Noncurrent income","2010.3/4","122272.105","108417.216","144484.896",
"3 persons","Noncurrent income","2010.4/4","123174.981","114490.402","137293.322",
"3 persons","Noncurrent income","2011.1/4","130154.219","159016.115","83337.902",
"3 persons","Noncurrent income","2011.2/4","190246.586","149197.337","262320.629",
"3 persons","Noncurrent income","2011.3/4","115044.691","96039.802","148177.076",
"3 persons","Noncurrent income","2011.4/4","149680.941","147612.205","153595.81",
"3 persons","Noncurrent income","2012.1/4","150981.632","146280.721","159784.183",
"3 persons","Noncurrent income","2012.2/4","152886.255","150659.785","157392.986",
"3 persons","Noncurrent income","2012.3/4","104851.691","116358.257","82401.055",
"3 persons","Noncurrent income","2012.4/4","131453.707","131435.281","131491.404",
"3 persons","Noncurrent income","2013.1/4","119818.951","116851.146","125614.578",
"3 persons","Noncurrent income","2013.2/4","116627.976","127315.23","95850.989",
"3 persons","Noncurrent income","2013.3/4","134823.973","119130.936","164884.383",
"3 persons","Noncurrent income","2013.4/4","117362.16","136620.98","81979.096",
"3 persons","Noncurrent income","2014.1/4","205128.12","184174.336","244178.998",
"3 persons","Noncurrent income","2014.2/4","147922.822","117311.998","210255.098",
"3 persons","Noncurrent income","2014.3/4","110633.156","126050.492","79406.352",
"3 persons","Noncurrent income","2014.4/4","110755.35","99358.426","133786.3",
"3 persons","Noncurrent income","2015.1/4","185779.46","166393.272","220607.624",
"3 persons","Noncurrent income","2015.2/4","175783.958","190791.147","147435.74",
"3 persons","Noncurrent income","2015.3/4","173845.076","221958.834","80404.487",
"3 persons","Noncurrent income","2015.4/4","165516.244","178773.648","139317.772",
"3 persons","Noncurrent income","2016.1/4","205801.001","177097.663","255518.999",
"3 persons","Noncurrent income","2016.2/4","139112.907","146072.184","126037.914",
"3 persons","Noncurrent income","2016.3/4","100581.407","100072.36","101567.263",
"3 persons","Noncurrent income","2016.4/4","100907.155","97332.475","107965.525",
"3 persons","Noncurrent income","2017.1/4","142039.464","149911.034","127852.119",
"3 persons","Noncurrent income","2017.2/4","136715.063","73377.185","259677.54",
"3 persons","Noncurrent income","2017.3/4","101420.042","90165.318","122500.482",
"3 persons","Noncurrent income","2017.4/4","68697.425","79641.027","47474.882",
"3 persons","Noncurrent income","2018.1/4","45893.64","40392.634","55799.008",
"3 persons","Noncurrent income","2018.2/4","24789.117","22981.768","28034.525",
