"Type","Region","PERIOD","Sales Price Index",
"Total","Seoul","2023.04 Month","95.79494975",
"Total","Seoul","2023.05 Month","95.69405907",
"Total","Seoul","2023.06 Month","95.73964334",
"Total","Seoul","2023.07 Month","95.88006285",
"Total","Seoul","2023.08 Month","96.16104856",
"Total","Seoul","2023.09 Month","96.47073297",
"Total","Seoul","2023.10 Month","96.71329873",
"Total","Seoul","2023.11 Month","96.80564336",
"Total","Seoul","2023.12 Month","96.73855944",
"Total","Seoul","2024.01 Month","96.6247852",
"Total","Seoul","2024.02 Month","96.53919646",
"Total","Seoul","2024.03 Month","96.53684705",
"Total","Seoul","2024.04 Month","96.62205182",
"Total","Seoul","2024.05 Month","96.75471062",
"Total","Seoul","2024.06 Month","97.12059235",
"Total","Seoul","2024.07 Month","97.85716293",
"Total","Seoul","2024.08 Month","98.6670865",
"Total","Seoul","2024.09 Month","99.20315204",
"Total","Seoul","2024.10 Month","99.5305707",
"Total","Seoul","2024.11 Month","99.73383605",
"Total","Seoul","2024.12 Month","99.81772354",
"Total","Seoul","2025.01 Month","99.85286902",
"Total","Seoul","2025.02 Month","100.0371174",
"Total","Seoul","2025.03 Month","100.5597497",
"Total","NorthernSeoul","2020.12 Month","97.40083119",
"Total","NorthernSeoul","2021.01 Month","97.72755201",
"Total","NorthernSeoul","2021.02 Month","98.25495243",
"Total","NorthernSeoul","2021.03 Month","98.6318593",
"Total","NorthernSeoul","2021.04 Month","98.9794993",
"Total","NorthernSeoul","2021.05 Month","99.35595822",
"Total","NorthernSeoul","2021.06 Month","100",
"Total","NorthernSeoul","2021.07 Month","100.6112436",
"Total","NorthernSeoul","2021.08 Month","101.3068247",
"Total","NorthernSeoul","2021.09 Month","101.9312102",
"Total","NorthernSeoul","2021.10 Month","102.5859945",
"Total","NorthernSeoul","2021.11 Month","103.1058101",
"Total","NorthernSeoul","2021.12 Month","103.3132043",
"Total","NorthernSeoul","2022.01 Month","103.3132486",
"Total","NorthernSeoul","2022.02 Month","103.2527023",
"Total","NorthernSeoul","2022.03 Month","103.2211577",
"Total","NorthernSeoul","2022.04 Month","103.2486192",
"Total","NorthernSeoul","2022.05 Month","103.2871964",
"Total","NorthernSeoul","2022.06 Month","103.2790651",
"Total","NorthernSeoul","2022.07 Month","103.1317924",
"Total","NorthernSeoul","2022.08 Month","102.800653",
"Total","NorthernSeoul","2022.09 Month","102.262153",
"Total","NorthernSeoul","2022.10 Month","101.4515237",
"Total","NorthernSeoul","2022.11 Month","100.0410906",
"Total","NorthernSeoul","2022.12 Month","97.73493457",
"Total","NorthernSeoul","2023.01 Month","96.42201581",
"Total","NorthernSeoul","2023.02 Month","95.72813805",
"Total","NorthernSeoul","2023.03 Month","95.18057616",
"Total","NorthernSeoul","2023.04 Month","94.81830066",
"Total","NorthernSeoul","2023.05 Month","94.63607449",
"Total","NorthernSeoul","2023.06 Month","94.58322245",
"Total","NorthernSeoul","2023.07 Month","94.66353531",
"Total","NorthernSeoul","2023.08 Month","94.8796837",
"Total","NorthernSeoul","2023.09 Month","95.14303121",
"Total","NorthernSeoul","2023.10 Month","95.33420236",
"Total","NorthernSeoul","2023.11 Month","95.41348717",
"Total","NorthernSeoul","2023.12 Month","95.35761083",
"Total","NorthernSeoul","2024.01 Month","95.26696834",
"Total","NorthernSeoul","2024.02 Month","95.17401678",
"Total","NorthernSeoul","2024.03 Month","95.16517065",
"Total","NorthernSeoul","2024.04 Month","95.23320547",
"Total","NorthernSeoul","2024.05 Month","95.35014084",
"Total","NorthernSeoul","2024.06 Month","95.6889996",
"Total","NorthernSeoul","2024.07 Month","96.29485793",
"Total","NorthernSeoul","2024.08 Month","96.95070786",
"Total","NorthernSeoul","2024.09 Month","97.4283105",
"Total","NorthernSeoul","2024.10 Month","97.74078513",
"Total","NorthernSeoul","2024.11 Month","97.93889807",
"Total","NorthernSeoul","2024.12 Month","98.01971706",
"Total","NorthernSeoul","2025.01 Month","98.04021352",
"Total","NorthernSeoul","2025.02 Month","98.08071462",
"Total","NorthernSeoul","2025.03 Month","98.29906088",
"Total","Dosim-kwon","2020.12 Month","98.25584564",
"Total","Dosim-kwon","2021.01 Month","98.52044609",
"Total","Dosim-kwon","2021.02 Month","98.89265018",
"Total","Dosim-kwon","2021.03 Month","99.13485781",
"Total","Dosim-kwon","2021.04 Month","99.36511924",
"Total","Dosim-kwon","2021.05 Month","99.60192785",
"Total","Dosim-kwon","2021.06 Month","100",
"Total","Dosim-kwon","2021.07 Month","100.4022369",
"Total","Dosim-kwon","2021.08 Month","100.9885185",
"Total","Dosim-kwon","2021.09 Month","101.5815499",
"Total","Dosim-kwon","2021.10 Month","102.3404191",
"Total","Dosim-kwon","2021.11 Month","102.9953511",
"Total","Dosim-kwon","2021.12 Month","103.2747631",
"Total","Dosim-kwon","2022.01 Month","103.2810154",
"Total","Dosim-kwon","2022.02 Month","103.2323355",
"Total","Dosim-kwon","2022.03 Month","103.2481877",
"Total","Dosim-kwon","2022.04 Month","103.3606582",
"Total","Dosim-kwon","2022.05 Month","103.4805788",
"Total","Dosim-kwon","2022.06 Month","103.5389147",
"Total","Dosim-kwon","2022.07 Month","103.5246263",
"Total","Dosim-kwon","2022.08 Month","103.3704834",
"Total","Dosim-kwon","2022.09 Month","102.9792173",
"Total","Dosim-kwon","2022.10 Month","102.3288731",
